Weather_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
332,Jacksonville,US,30.33,-81.66,73.99,60,40,12.75,scattered clouds
333,Albion,US,42.24,-84.75,34.0,80,90,5.82,overcast clouds
334,Sao Joao Da Barra,BR,-21.64,-41.05,77.0,73,75,11.41,light rain
335,Domna,RU,51.9,113.16,14.0,56,0,11.18,clear sky
336,Adre,TD,13.47,22.2,73.9,23,3,4.59,clear sky
337,Cap-Aux-Meules,CA,47.38,-61.86,33.8,69,100,33.33,overcast clouds
338,Ochtrup,DE,52.22,7.18,44.01,71,56,6.78,broken clouds
339,Sinnamary,GF,5.38,-52.95,82.76,77,11,10.89,few clouds
340,Atambua,ID,-9.11,124.89,76.12,81,87,3.02,overcast clouds
341,Saint-Pierre,RE,-21.34,55.48,77.0,73,64,11.14,broken clouds
342,Pathein,MM,16.78,94.73,74.35,81,24,5.28,few clouds
343,Oyama,JP,36.3,139.8,54.0,87,75,8.05,light rain
344,Port Keats,AU,-14.25,129.55,85.14,76,92,10.33,overcast clouds
345,Denpasar,ID,-8.65,115.22,80.6,88,20,5.82,few clouds
346,Makushino,RU,55.21,67.24,13.96,95,79,8.99,broken clouds
347,Ahipara,NZ,-35.17,173.17,64.87,90,100,13.87,light rain
348,Margate,GB,51.38,1.39,50.0,84,88,5.01,overcast clouds
349,Cangzhou,CN,38.32,116.87,37.18,79,42,4.83,scattered clouds
350,Chapais,CA,49.78,-74.85,15.8,72,75,9.17,light snow
351,San Vicente,AR,-26.62,-54.13,91.63,23,1,6.08,clear sky
352,Blyth,GB,55.13,-1.51,51.8,71,92,9.17,overcast clouds
353,Davila,PH,18.47,120.58,78.31,76,0,20.13,clear sky
354,Rio Grande,BR,-32.03,-52.1,87.8,55,0,13.87,clear sky
355,Uyemskiy,RU,64.47,40.85,30.2,100,90,4.47,light shower snow
356,Rawson,AR,-43.3,-65.1,68.41,26,0,4.61,clear sky
357,Khani,GE,41.96,42.96,41.0,75,0,3.36,clear sky
358,Macenta,GN,8.54,-9.47,88.86,28,43,3.06,scattered clouds
359,Nanortalik,GL,60.14,-45.24,29.62,97,100,15.57,overcast clouds
360,Caxito,AO,-8.58,13.66,84.2,70,75,6.93,broken clouds
