City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
488,Santa Lucia,ES,73.99,clear sky,27.91,-15.54,Hotel Viverde Las Tirajanas
489,Fare,PF,81.25,scattered clouds,-16.7,-151.02,Maitai Lapita Village Huahine
491,Palu,ID,76.3,overcast clouds,-0.89,119.87,Hotel Santika Palu
492,Arlit,NE,80.04,clear sky,18.74,7.39,Hôtel Telwa Bungalow
493,Wamba,NG,84.94,overcast clouds,8.93,8.6,Roma Zee Guest House Annex
494,Atherton,GB,53.01,overcast clouds,53.52,-2.49,The Mercury Motel
495,Gemena,CD,77.13,overcast clouds,3.25,19.77,Hôtel Goshen
496,Melito Di Porto Salvo,IT,64.0,scattered clouds,37.92,15.77,B&B Nereidi
499,Marsa Matruh,EG,66.2,broken clouds,31.35,27.25,Beau Site
501,Kununurra,AU,75.2,thunderstorm,-15.77,128.73,Hotel Kununurra
505,Labuhan,ID,79.88,light rain,-6.88,112.21,bador sepret
506,Kalemie,CD,73.51,light rain,-5.95,29.19,Mahobilali
510,Acajutla,SV,82.4,few clouds,13.59,-89.83,Stop.
511,Kaita,JP,50.0,scattered clouds,34.37,132.55,Hiroshima Hotel / La Michel Funakoshi
514,Mao,ES,57.2,few clouds,39.89,4.27,ARTIEM Capri
517,Manacapuru,BR,75.2,light rain,-3.3,-60.62,Novo Hotel
519,Las Vegas,US,55.99,clear sky,36.17,-115.14,Plaza Hotel & Casino
521,Samarai,PG,80.42,broken clouds,-10.62,150.67,Nuli Sapi
523,Yulara,AU,82.4,few clouds,-25.24,130.99,Desert Gardens Hotel - Ayers Rock Resort
527,Canton,CN,71.01,broken clouds,23.12,113.25,Guangzhou Hotel
530,Ukiah,US,50.0,clear sky,39.15,-123.21,Hampton Inn Ukiah
531,Pelotas,BR,87.8,clear sky,-31.77,-52.34,Hotéis Jacques Georges Tower
533,Ginir,ET,61.47,few clouds,7.13,40.7,Sura Dare Village
539,Le Robert,MQ,86.0,broken clouds,14.68,-60.94,HARMONY HEBERGEMENT
542,Tura,IN,60.78,broken clouds,25.52,90.22,Hotel RIKMAN Continental
543,Carrollton,US,61.0,mist,32.95,-96.89,Days Inn by Wyndham North Dallas/Farmers Branch
544,Santarem,BR,87.8,scattered clouds,-2.44,-54.71,Hotel Imperador
546,Dingle,PH,74.77,light rain,11.0,122.67,SEGAYA PROPERTY
547,Muli,MV,82.8,scattered clouds,2.92,73.57,Medhufushi Island Resort
549,Dimbokro,CI,86.31,overcast clouds,6.65,-4.7,complexe hôtelier le jardin d'Eden
551,Biltine,TD,80.6,clear sky,14.53,20.92,Hôtel Trois Étoiles de Biltine
559,Abu Dhabi,AE,77.0,broken clouds,24.47,54.37,Beach Rotana
560,Greenwood,US,53.01,clear sky,34.17,-82.12,Quality Inn Greenwood Hwy 25
564,Banda Aceh,ID,79.12,overcast clouds,5.56,95.32,OYO 884 Rumoh PMI Hotel
565,Talara,PE,77.0,clear sky,-4.58,-81.27,Hostal Oro Negro
567,Lower Hutt,NZ,57.2,light rain,-41.22,174.92,Boulcott Lodge
569,Omboue,GA,78.89,broken clouds,-1.57,9.26,Hotel Olako
570,Ugoofaaru,MV,82.15,few clouds,5.67,73.0,Ungoofaaru Inn
573,Port Augusta,AU,60.8,scattered clouds,-32.5,137.77,Majestic Oasis Apartments
574,Ilo,PE,69.8,clear sky,-17.64,-71.34,Torreblanca Hotel
576,Brenes,ES,62.6,scattered clouds,37.55,-5.87,Hotel El Juncal
579,Kuzhithurai,IN,84.2,mist,8.32,77.18,Hotel Prasanthi
581,Vallenar,CL,87.06,few clouds,-28.57,-70.76,Humacao Bed & Breakfast
582,Amboasary,MG,77.0,broken clouds,-25.03,46.38,DISCOVERY AMBOASARY
583,Monrovia,LR,86.0,broken clouds,6.3,-10.8,Eco-Hotel Hall & Restaurant
